date,Kepulauan Seribu,isPartial
2016-11-27,12,False
2016-12-04,15,False
2016-12-11,12,False
2016-12-18,15,False
2016-12-25,25,False
2017-01-01,30,False
2017-01-08,18,False
2017-01-15,9,False
2017-01-22,13,False
2017-01-29,10,False
2017-02-05,10,False
2017-02-12,12,False
2017-02-19,7,False
2017-02-26,7,False
2017-03-05,3,False
2017-03-12,9,False
2017-03-19,8,False
2017-03-26,7,False
2017-04-02,10,False
2017-04-09,14,False
2017-04-16,16,False
2017-04-23,10,False
2017-04-30,8,False
2017-05-07,11,False
2017-05-14,10,False
2017-05-21,8,False
2017-05-28,6,False
2017-06-04,6,False
2017-06-11,7,False
2017-06-18,14,False
2017-06-25,22,False
2017-07-02,10,False
2017-07-09,10,False
2017-07-16,15,False
2017-07-23,11,False
2017-07-30,7,False
2017-08-06,10,False
2017-08-13,7,False
2017-08-20,5,False
2017-08-27,8,False
2017-09-03,15,False
2017-09-10,10,False
2017-09-17,14,False
2017-09-24,8,False
2017-10-01,14,False
2017-10-08,11,False
2017-10-15,9,False
2017-10-22,14,False
2017-10-29,6,False
2017-11-05,10,False
2017-11-12,8,False
2017-11-19,13,False
2017-11-26,9,False
2017-12-03,10,False
2017-12-10,10,False
2017-12-17,7,False
2017-12-24,14,False
2017-12-31,13,False
2018-01-07,16,False
2018-01-14,7,False
2018-01-21,6,False
2018-01-28,11,False
2018-02-04,7,False
2018-02-11,6,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,8,False
2018-03-11,13,False
2018-03-18,6,False
2018-03-25,10,False
2018-04-01,6,False
2018-04-08,8,False
2018-04-15,5,False
2018-04-22,9,False
2018-04-29,6,False
2018-05-06,9,False
2018-05-13,4,False
2018-05-20,8,False
2018-05-27,1,False
2018-06-03,8,False
2018-06-10,6,False
2018-06-17,17,False
2018-06-24,9,False
2018-07-01,10,False
2018-07-08,12,False
2018-07-15,9,False
2018-07-22,6,False
2018-07-29,8,False
2018-08-05,8,False
2018-08-12,6,False
2018-08-19,9,False
2018-08-26,6,False
2018-09-02,8,False
2018-09-09,10,False
2018-09-16,7,False
2018-09-23,9,False
2018-09-30,8,False
2018-10-07,5,False
2018-10-14,4,False
2018-10-21,5,False
2018-10-28,6,False
2018-11-04,9,False
2018-11-11,5,False
2018-11-18,3,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,9,False
2018-12-16,13,False
2018-12-23,13,False
2018-12-30,6,False
2019-01-06,5,False
2019-01-13,4,False
2019-01-20,6,False
2019-01-27,9,False
2019-02-03,5,False
2019-02-10,5,False
2019-02-17,2,False
2019-02-24,4,False
2019-03-03,5,False
2019-03-10,4,False
2019-03-17,6,False
2019-03-24,9,False
2019-03-31,6,False
2019-04-07,5,False
2019-04-14,4,False
2019-04-21,5,False
2019-04-28,6,False
2019-05-05,6,False
2019-05-12,7,False
2019-05-19,4,False
2019-05-26,10,False
2019-06-02,13,False
2019-06-09,12,False
2019-06-16,8,False
2019-06-23,10,False
2019-06-30,9,False
2019-07-07,6,False
2019-07-14,6,False
2019-07-21,7,False
2019-07-28,6,False
2019-08-04,4,False
2019-08-11,7,False
2019-08-18,11,False
2019-08-25,9,False
2019-09-01,9,False
2019-09-08,6,False
2019-09-15,10,False
2019-09-22,10,False
2019-09-29,7,False
2019-10-06,10,False
2019-10-13,12,False
2019-10-20,8,False
2019-10-27,8,False
2019-11-03,9,False
2019-11-10,8,False
2019-11-17,11,False
2019-11-24,12,False
2019-12-01,9,False
2019-12-08,5,False
2019-12-15,10,False
2019-12-22,13,False
2019-12-29,7,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,6,False
2020-01-26,5,False
2020-02-02,4,False
2020-02-09,4,False
2020-02-16,6,False
2020-02-23,10,False
2020-03-01,7,False
2020-03-08,9,False
2020-03-15,6,False
2020-03-22,5,False
2020-03-29,2,False
2020-04-05,5,False
2020-04-12,3,False
2020-04-19,1,False
2020-04-26,3,False
2020-05-03,4,False
2020-05-10,6,False
2020-05-17,6,False
2020-05-24,4,False
2020-05-31,4,False
2020-06-07,6,False
2020-06-14,6,False
2020-06-21,7,False
2020-06-28,10,False
2020-07-05,6,False
2020-07-12,4,False
2020-07-19,8,False
2020-07-26,10,False
2020-08-02,8,False
2020-08-09,7,False
2020-08-16,9,False
2020-08-23,4,False
2020-08-30,9,False
2020-09-06,6,False
2020-09-13,5,False
2020-09-20,6,False
2020-09-27,4,False
2020-10-04,2,False
2020-10-11,6,False
2020-10-18,5,False
2020-10-25,7,False
2020-11-01,5,False
2020-11-08,7,False
2020-11-15,9,False
2020-11-22,5,False
2020-11-29,6,False
2020-12-06,4,False
2020-12-13,5,False
2020-12-20,4,False
2020-12-27,4,False
2021-01-03,61,False
2021-01-10,100,False
2021-01-17,25,False
2021-01-24,6,False
2021-01-31,3,False
2021-02-07,6,False
2021-02-14,4,False
2021-02-21,6,False
2021-02-28,6,False
2021-03-07,5,False
2021-03-14,8,False
2021-03-21,7,False
2021-03-28,5,False
2021-04-04,6,False
2021-04-11,7,False
2021-04-18,5,False
2021-04-25,6,False
2021-05-02,5,False
2021-05-09,5,False
2021-05-16,6,False
2021-05-23,4,False
2021-05-30,7,False
2021-06-06,8,False
2021-06-13,3,False
2021-06-20,6,False
2021-06-27,1,False
2021-07-04,3,False
2021-07-11,6,False
2021-07-18,8,False
2021-07-25,4,False
2021-08-01,6,False
2021-08-08,8,False
2021-08-15,9,False
2021-08-22,3,False
2021-08-29,1,False
2021-09-05,5,False
2021-09-12,9,False
2021-09-19,4,False
2021-09-26,4,False
2021-10-03,4,False
2021-10-10,6,False
2021-10-17,6,False
2021-10-24,3,False
2021-10-31,5,False
2021-11-07,6,False
2021-11-14,6,True
